who,color,hierarchy,polity,degree,clustering-coeff,resources,innovation
934,135,13,(turtle 186),19,0.023391812865497,-5011520.383829802,9
525,135,9,(turtle 186),14,0.0219780219780219,-200860.15409891304,15
493,135,7,(turtle 186),13,0.0,-418366.3557838724,7
510,135,13,(turtle 186),21,0.0095238095238095,-1787470.0834582886,7
114,135,10,(turtle 186),18,0.0326797385620915,-593905.7815400157,15
589,135,8,(turtle 186),16,0.0166666666666666,-210612.5140614218,11
733,135,5,(turtle 186),8,0.0,-146488.74910197945,12
826,135,6,(turtle 186),8,0.0,-387666.7079256604,5
308,135,8,(turtle 186),17,0.0147058823529411,-421266.579260168,10
65,135,7,(turtle 186),14,0.0219780219780219,-117830.24675099,10
670,135,10,(turtle 186),15,0.0095238095238095,-133678.15940466098,9
679,135,7,(turtle 186),12,0.0,-667203.3441698143,9
740,135,6,(turtle 186),19,0.0292397660818713,-1392043.2362741963,9
30,135,7,(turtle 186),8,0.0,-150263.62146326495,12
700,135,6,(turtle 186),10,0.0,-21040.35365275637,10
779,135,9,(turtle 186),16,0.025,-220553.5217554781,11
872,135,4,(turtle 186),12,0.0,6.173451169439427,19
620,135,5,(turtle 186),9,0.0,7.401135193951394,14
37,135,8,(turtle 186),12,0.0303030303030303,-206813.978865646,9
165,135,7,(turtle 186),10,0.0222222222222222,-388190.7527952101,13
824,135,7,(turtle 186),11,0.0,-94218.97486994334,13
519,135,9,(turtle 186),12,0.0303030303030303,-265699.32675608667,14
49,135,9,(turtle 186),13,0.0128205128205128,-362659.24616235687,12
382,135,4,(turtle 186),10,0.0,-89803.58294530402,11
473,135,10,(turtle 186),15,0.0095238095238095,-596669.7516715204,10
724,135,0,(turtle 186),14,0.0,-3628341.534050434,9
95,135,8,(turtle 186),21,0.0142857142857142,-506083.97124801774,7
356,135,9,(turtle 186),20,0.0368421052631578,-470381.4622304123,8
444,135,8,(turtle 186),12,0.0,-796096.4206592805,9
604,135,8,(turtle 186),16,0.0416666666666666,-91786.6461970295,11
294,135,8,(turtle 186),12,0.0303030303030303,-357299.53709657723,11
52,135,5,(turtle 186),15,0.0,-15.74367527258796,16
259,135,7,(turtle 186),12,0.0151515151515151,-87170.49142213896,11
306,135,6,(turtle 186),13,0.0512820512820512,-343621.927356419,10
812,135,3,(turtle 186),19,0.0,-35251.1746110188,5
461,135,9,(turtle 186),14,0.0109890109890109,-105978.65062042436,17
315,135,8,(turtle 186),12,0.0303030303030303,-1456578.5548422018,9
108,135,12,(turtle 186),20,0.0263157894736842,-3728630.443945128,9
958,135,7,(turtle 186),27,0.017094017094017,-2154416.8556379126,7
73,135,10,(turtle 186),13,0.0,-528093.9944625464,10
443,135,8,(turtle 186),16,0.0083333333333333,-43989.00280038589,13
196,135,9,(turtle 186),15,0.019047619047619,-160878.87202891134,9
381,135,7,(turtle 186),9,0.0,-17697.386555144065,16
899,135,12,(turtle 186),18,0.0130718954248366,-1664026.844777713,8
871,135,9,(turtle 186),17,0.0073529411764705,-222736.93922813443,7
267,135,9,(turtle 186),14,0.0,-40473.30002245802,12
535,135,8,(turtle 186),12,0.0151515151515151,-517407.9551112702,11
883,135,7,(turtle 186),8,0.0357142857142857,-391112.4577369712,10
117,135,11,(turtle 186),19,0.0058479532163742,-1185534.5208095242,12
89,135,7,(turtle 186),10,0.0444444444444444,-175119.76057209878,11
5,135,10,(turtle 186),16,0.0166666666666666,-826888.7564694152,10
442,135,8,(turtle 186),17,0.0073529411764705,-196747.6436879724,13
312,135,8,(turtle 186),9,0.0,-402034.39230980334,10
657,135,5,(turtle 186),21,0.0095238095238095,-713001.4145706891,6
405,135,7,(turtle 186),14,0.0219780219780219,-434598.9585751764,12
326,135,8,(turtle 186),14,0.0109890109890109,-203837.45163476045,10
422,135,10,(turtle 186),14,0.0109890109890109,-437977.5700634277,11
987,135,6,(turtle 186),11,0.0,-178389.97281718196,12
90,135,8,(turtle 186),18,0.0261437908496732,-501694.7474794015,8
43,135,6,(turtle 186),14,0.0109890109890109,-438447.833856334,10
225,135,9,(turtle 186),22,0.0216450216450216,-1079719.3351848305,8
226,135,6,(turtle 186),8,0.0357142857142857,-268237.5004352807,11
327,135,7,(turtle 186),11,0.0,-293998.3251935111,8
839,135,4,(turtle 186),8,0.0,-413208.5151050014,15
924,135,0,(turtle 186),37,0.0225225225225225,-1045720050.8211184,0
27,135,4,(turtle 186),15,0.0285714285714285,-626492.2360662767,9
115,135,9,(turtle 186),14,0.0,-213320.57813043223,10
677,135,7,(turtle 186),15,0.0095238095238095,-682000.3073940407,8
260,135,9,(turtle 186),19,0.0175438596491228,-392773.53652052814,7
223,135,10,(turtle 186),12,0.0,-299270.77152588265,11
986,135,7,(turtle 186),9,0.0,-481344.8146860593,12
577,135,6,(turtle 186),8,0.0357142857142857,-111733.9034927639,17
629,135,9,(turtle 186),14,0.0329670329670329,-49364.062477862535,13
512,135,7,(turtle 186),22,0.0086580086580086,-21486.75037701464,11
859,135,6,(turtle 186),13,0.0,-4851.532867981039,18
414,135,7,(turtle 186),18,0.0130718954248366,-130327.78362324613,7
477,135,12,(turtle 186),16,0.0166666666666666,-3035457.542455498,10
106,135,9,(turtle 186),18,0.0130718954248366,-1133590.3270732465,8
191,135,8,(turtle 186),12,0.0151515151515151,-174257.4344223373,11
351,135,9,(turtle 186),13,0.0384615384615384,-136049.18697491215,14
