who,color,hierarchy,polity,degree,clustering-coeff,resources
326,105,0,(turtle 317),20,0.0421052631578947,2545569348332.177
548,105,0,(turtle 317),12,0.106060606060606,2263151087384.3857
611,105,0,(turtle 317),17,0.0661764705882353,5083276670205.755
99,105,0,(turtle 317),16,0.075,3520150558049.4907
418,105,107,(turtle 317),103,0.0209404150009518,2845792016.2553434
844,105,0,(turtle 317),13,0.0256410256410256,2856400295623.036
11,105,0,(turtle 317),11,0.0363636363636363,2406802845735.5835
292,105,0,(turtle 317),12,0.0454545454545454,4039596518689.6846
484,105,0,(turtle 317),14,0.0549450549450549,2545040260993.0405
118,105,0,(turtle 317),19,0.0584795321637426,3050158780579.424
109,105,0,(turtle 317),13,0.0384615384615384,2405331864759.6167
880,105,0,(turtle 317),10,0.0222222222222222,3161083768973.411
257,105,0,(turtle 317),21,0.0476190476190476,2224465595410.0547
594,105,0,(turtle 317),13,0.0384615384615384,3716772117029.5977
489,105,0,(turtle 317),17,0.0955882352941176,2849666388343.0024
508,105,88,(turtle 317),88,0.026907001044932,1715119863.923186
898,105,0,(turtle 317),17,0.0147058823529411,3696389671498.8936
169,105,0,(turtle 317),15,0.0476190476190476,1888650037146.7292
310,105,0,(turtle 317),9,0.0277777777777777,4818088581203.674
868,105,119,(turtle 317),120,0.0144257703081232,14484471852.40553
596,105,0,(turtle 317),12,0.0303030303030303,1407007065955.431
839,105,0,(turtle 317),11,0.0363636363636363,1538404295679.972
924,105,1,(turtle 317),18,0.0718954248366013,490392433.13853526
722,105,0,(turtle 317),16,0.025,1532807524511.4187
542,105,0,(turtle 317),16,0.05,4492893410803.916
762,105,0,(turtle 317),13,0.0512820512820512,1978788241812.6565
605,105,121,(turtle 317),119,0.0059820538384845,14643008212.799437
121,105,0,(turtle 317),21,0.0619047619047619,3627083571045.171
591,105,0,(turtle 317),15,0.0571428571428571,4088354668929.547
980,105,0,(turtle 317),12,0.0454545454545454,1497191621086.2627
338,105,0,(turtle 317),15,0.0571428571428571,3054496843068.9663
438,105,0,(turtle 317),19,0.087719298245614,4515564868600.246
743,105,0,(turtle 317),15,0.1047619047619047,1639890393862.587
301,105,0,(turtle 317),12,0.0909090909090909,3193766868688.521
409,105,0,(turtle 317),14,0.0769230769230769,3777445526883.5327
216,105,0,(turtle 317),13,0.0384615384615384,1677000397238.786
752,105,0,(turtle 317),12,0.0454545454545454,3893963627476.638
692,105,0,(turtle 317),17,0.0808823529411764,2691669337949.694
